line_number,is_narration,speaker_internal,speaker_display,voice_id,original_text,translated_text
270,no,Urszula,Urszula,S008_B2_0070,"All right, since I’ve come all this way, I’ll go buy Stey Ken.",
273,no,Petter,Petter,S005_B2_0071,"Since you’re here, why don’t you try buying it? This is part of your social studies. ",
278,yes,,,,Me... Let’s follow,
291,yes,,,,Radha-san’s advice.,
299,no,Rada,Rada,S038_B2_0021,"Hey, young man. I’ll listen to what your sister has to say.",
309,yes,,,,This is a Jacoby!,
317,no,Rada,Rada,S038_B2_0022,"So it’s backwards. Shaon-kun, that’s naive. Heheheh.",
332,no,Ponse,Host Ponse,S056_B2_0004,"Now then, let’s go to Batouuuuurstard!!! ",
359,no,Steiken,Steiken,S055_B2_0002,Oraoraoraoraorah!!! ,
405,no,Jacobie,Jacobie,S054_B2_0002,munh! What is this?!,
422,no,Minjara,Minjara,S048_B2_0049,"Ohhh, Steyken’s attack speed is pretty decent. But Jacoby’s as hard as he looks! I guess you could say he can’t take his eyes off you! ",
426,no,Ebita,Ebita,S004_B2_0056,"God, why don’t you get a job as a live broadcaster? ",
437,no,Steiken,Steiken,S055_B2_0003,We’re just getting excited when the Heavenly Familiar materializes! {Armstrong}!,
470,no,Ebita,Ebita,S004_B2_0057,Nnowa! The number of hands has increased?! ,
473,no,Petter,Petter,S005_B2_0072,"That’s the kind of divine spirit they are, isn’t it? There’s so many kinds of divine spirits! ",
485,no,Ponse,Host Ponse,S056_B2_0005,It’s a surefire way to attack them all at once with Steyken’s increased hand!,
493,no,Jacobie,Jacobie,S054_B2_0003,"Heh, that’s a flashy look. You’re the only one who’s good with the audience. ",
529,no,Steiken,Steiken,S055_B2_0004,Pull it out! You don’t stand a chance against a slow muscled Dalma! Raa!,
555,no,Shaon,Shaon,,It’s an onslaught. It’s really on the line to finish him off.,
558,no,Urszula,Urszula,S008_B2_0071,"Yeah, it’s a real fight. I bet that’s why it’ll be so popular! ",
596,no,Steiken,Steiken,S055_B2_0005,I’ll beat you up with an octopus! Let out a nice voice and liven things up! ,
619,no,Jacobie,Jacobie,S054_B2_0004,Your attacks are shallow! The manifestation of the Heavenly Familia!!,
647,no,Ponse,Host Ponse,S056_B2_0006,Jacoby charged in even as he was attacked! ,
666,no,Steiken,Steiken,S055_B2_0006,Wha?! This guy... ,
684,yes,,,,"Steken tried to run away, but his opponent sucked him in.",
706,yes,,,,And then it’s brought into the throw.,
718,no,Jacobie,Jacobie,S054_B2_0005,Meat is cut and bones are smashed. Buster!! ,
767,no,Steiken,Steiken,S055_B2_0007,Uwah!!!,
790,no,Ponse,Host Ponse,S056_B2_0007,The winner is Jacoby!! ,
801,no,Jacobie,Jacobie,S054_B2_0006,"It’s simple. The big, heavy guy is amazing. He’s strong. ",
818,no,Urszula,Urszula,S008_B2_0072,"Gwah, I didn’t expect that. It’s so hot...! I’m getting excited!",
839,no,Shaon,Shaon,,We missed ,
843,no,Rada,Rada,S038_B2_0023,"That’s part of it. Don’t worry, don’t hold back! ",
847,no,Ebita,Ebita,S004_B2_0058,You’re making such a refreshing face despite not expecting it.,
866,no,Shaon,Shaon,,I did it. I won ,
870,no,Rada,Rada,S038_B2_0024,"It’s good, young man. Take good care of your bikini crack. ",
876,no,Petter,Petter,S005_B2_0073,"Even though you bought a ticket, you look refreshed.",
880,no,Rada,Rada,S038_B2_0025,"It’s a face that doesn’t show any negative emotions. Honestly, I want to cry. ",
884,no,Rada,Rada,S038_B2_0026,"When I’m in debt to someone I know, this face lends me more money than I expected. I feel like I’ll be able to pay it back easily. ",
888,no,Ebita,Ebita,S004_B2_0059,You’re a pretty useless adult.,
899,no,Shaon,Shaon,,"By the way, Mr. Jacoby, did you just use the Celestial Familia?",
903,no,Rada,Rada,S038_B2_0027,"I wonder if it’s a Celestial Familia that draws the opponent to its own side. It’s probably a short distance away, but it fits well with its own physique... Ugh. If only I knew it had such a Celemonic.",
906,no,Old man confident in the arena.,Old man confident in the arena.,S444_B2_0001,"Onee-chan, you’re so young. There are times when the Celestial Familia defeats people who don’t know their place. If you bet on them, they’ll be delicious.",
911,no,Rada,Rada,S038_B2_0028,"No, no, old man. When you won your debut match, you didn’t use your Heavenly Familia, so I don’t think you had it. ",
913,no,Old man confident in the arena.,Old man confident in the arena.,S444_B2_0002,"The opponent was weak in the first match, so you were able to save it. But this time, it’s Steyken. There’s a good chance it’ll come out. You have to think about that too. ",
925,no,Rada,Rada,S038_B2_0029,"Nu-. Okay, I’ll guess next time! Besides, if you missed, that means you’ll win next time.",
927,no,Shaon,Shaon,,"Radha-san, don’t get too worked up... ",
941,no,Ebita,Ebita,S004_B2_0060,Ahahaha. She’s amazing! It’s super fun! ,
943,no,Shaon,Shaon,,"? What are you laughing at all of a sudden, Ebi?",
949,no,Minjara,Minjara,S048_B2_0050,"You’ll make your daughter laugh, watch the arena, munch munch",
969,no,Urszula,Urszula,S008_B2_0073,"Hey, old man, you were strong! You’re up against me next!! ",
973,no,Jacobie,Jacobie,S054_B2_0007,Ahhhn? I’ve never seen you before.,
976,no,Ponse,Host Ponse,S056_B2_0008,"Whoops! It’s a pretty girl, a beautiful girl is barging in! ",
989,no,Petter,Petter,S005_B2_0074,"You did it. She couldn’t hold back her feelings, fufu",
995,no,Minjara,Minjara,S048_B2_0051,She probably wants to see how far her skills can get in the capital.,
997,yes,,,,"Minjara was engrossed in the hot dog, but Urszula couldn’t take it anymore...",
1007,no,Rada,Rada,S038_B2_0030,Shaon-kun,
1018,no,Urszula,Urszula,S008_B2_0074,We’re jumping in! We came to the capital yesterday. Let’s do it with me...!,
1024,no,Jacobie,Jacobie,S054_B2_0008,...Follow the proper procedure. Young lady,
1035,no,Urszula,Urszula,S008_B2_0075,"Ah, hey!! Can’t you take it like this?! ",
1042,no,Coliseum Guard,Coliseum Guard,S306_B2_0001,"Hey, pick it up!",
1055,no,Urszula,Urszula,S008_B2_0076,Uwah,
1060,no,Old man confident in the arena.,Old man confident in the arena.,S444_B2_0003,"Fuoh-fuoh, what a pain. That’s good, that’s great! ",
1067,yes,,,,The crowd cheered warmly for Urszula.,
1079,no,Rada,Rada,S038_B2_0031,"It doesn’t matter what the match is, it’ll always be fun. Sometimes, that kind of troubled customer gets caught up in the heat of the moment. If it’s just once, it can only be a sideshow. ",
1081,no,Shaon,Shaon,,"Hoh, thank goodness... ",
1085,no,Urszula,Urszula,S008_B2_0077,"...Damn, I got more into it than I thought. I’m embarrassed.",
1089,no,Rada,Rada,S038_B2_0032,"If you win the coliseum, you’ll make money. You’ll become famous. I don’t think you want to fight a pointless battle to win the big one. That’s just how it is. Fighters are people with ",
1091,no,Shaon,Shaon,,"Professionalism, aren’t they? ",
1102,no,Ponse,Host Ponse,S056_B2_0009,"Who knows. The next match will be the thrall everyone fears, the assassin Su?liebud, who sucked twenty-six people’s blood in the Swamp of the Large Sword Tiger and Singol!!",
1181,no,Shaon,Shaon,,"Whoa, what a dangerous monster!? ",
1196,no,Minjara,Minjara,S048_B2_0052,"If those monsters go on a rampage, the spectators here will die ",
1200,no,Rada,Rada,S038_B2_0033,"But that won’t happen, will it? Those guards will protect them.",
1203,no,Petter,Petter,S005_B2_0075,"The coliseum is the source of income for the Empire, entertainment, and gas for the people... Anyway, it’s an important facility. It’s similar in the Commonwealth, so ",
1207,no,Rada,Rada,S038_B2_0034,That’s why I’m careful about safety. That coliseam guard is strong. There’s a lot of work done by past fighters. ,
1216,no,Urszula,Urszula,S008_B2_0078,"I may not be serious, but I was thrown out just now.",
1221,no,Minjara,Minjara,S048_B2_0053,"Well, you’ll calm down after eating. Look at this takoyaki. It’s crunchy outside, and it’s perfect for pouring ale in. ",
1224,no,Petter,Petter,S005_B2_0076,"Be careful not to eat too much food. Hypertension is a formidable enemy. Urszula, even you’re an enemy. ",
1228,no,Urszula,Urszula,S008_B2_0079,I have nothing to do with sickness. Not a single bad thing about it.,
1231,no,Petter,Petter,S005_B2_0077,That’s what everyone says when they’re young... ,
1240,no,Ponse,Host Ponse,S056_B2_0010,"Now, facing these two is the strongest being... ",
1242,no,Audience 523,Audience 523,S426_B2_0001,Rhodia!! Low-Death!!,
1244,no,Audience 971,Audience 971,S427_B2_0001,It’s Rhodia’s forehead!! Low Deaaaah!! ,
1254,no,Ebita,Ebita,S004_B2_0061,"Ooooh, everyone’s calling. You’re going to get something that amazing? ",
1262,no,Ponse,Host Ponse,S056_B2_0011,"Colosseum 323 matches, 323 wins! Dragon factor seethes! I feel hot blood! Ron’s invincible fighter!! Rhodiiiiiiiiii!!!!",
1279,yes,,,,The coliseum was engulfed in cheers.,
1294,no,Rada,Rada,S038_B2_0035,"Ron is half dragon and half human, so that makes sense. If ",
1298,no,Rada,Rada,S038_B2_0036,"Rhodia fights, it’s not a bet based on victory or defeat. Because they’re too strong, they change their bet to say their opponent lasts for a few seconds.",
1333,no,Urszula,Urszula,S008_B2_0080,"So that’s Rhodia, huh? ...I see... I take a good look at the girl called ",
1341,yes,,,,Rhodia.,
1343,no,Shaon,Shaon,,...She’s definitely strong... and beautiful... I feel like I’ve seen her somewhere before... That feeling.,
1346,no,Petter,Petter,S005_B2_0078,"The Lon tribe, who were probably mixed in with the people from the Commonwealth who attacked the bandit fortress, ",
1360,no,Shaon,Shaon,,Aah... Um! ,
1371,no,Rada,Rada,S038_B2_0037,"Mm, four seconds! Let’s bet on four seconds.",
1387,no,Rodia,Rodia,S044_B2_0001,...,
1389,yes,,,,The monsters were threatening Rhodia from inside the cage.,
1393,no,Rodia,Rodia,S044_B2_0002,You guys were brought here too.,
1397,no,Rodia,Rodia,S044_B2_0003,"End the match in an instant, ",
1408,no,Ponse,Host Ponse,S056_B2_0012,Begin the match!!!! ,
1470,yes,,,,released from the cage for only two seconds.,
1498,yes,,,,The thing that had been my life just a moment ago is lying there. The girl named Rhodia instantly kills the monster.,
1511,no,Ponse,Host Ponse,S056_B2_0013,"2 seconds! As usual, I have no intention of getting excited! But that’s fine! That’s good!! It’s just a Soul Reaper who stoically kills his opponent! The challenger is always on the receiving end! ",
1528,no,Rada,Rada,S038_B2_0038,"Ahhh, it’s too early!! I missed!!",
1530,yes,,,,"Could it be that Radha-san’s intuition is good, but gambling is weak?",
1539,no,Urszula,Urszula,S008_B2_0081,......She’s unbelievably strong. Did she use Heavenly Familia? ,
1543,no,Minjara,Minjara,S048_B2_0054,She probably didn’t. She defeated her with a normal attack.,
1545,no,Shaon,Shaon,,"Do you think you can beat Rhodia, Urszula? ",
1549,no,Urszula,Urszula,S008_B2_0082,"...I hate to admit it, but... even if you do it now, you’ll never win...! ",
1553,no,Ebita,Ebita,S004_B2_0062,"If you can tell how strong your opponent is, then you’ve grown.",
1567,yes,,,,Rhodia coolly left.,
1578,no,Urszula,Urszula,S008_B2_0083,"If she’s that strong, then she can become one of the Five Stars, right? ",
1583,no,Rada,Rada,S038_B2_0039,Rhodia has no intention of doing that. You saw how cool she looks.,
1587,no,Rada,Rada,S038_B2_0040,"She doesn’t seem interested in anything, does she? She usually guards Lord Nervion, a member of the Imperial family, and only comes to the coliseum when there’s a match. ",
1598,no,Ebita,Ebita,S004_B2_0063,Nervions... I’ve heard that somewhere before... Have I read about it in the newspaper? ,
1602,no,Petter,Petter,S005_B2_0079,Raniero’s son. He’s the younger brother of Emperor Noa.,
1606,no,Minjara,Minjara,S048_B2_0055,"Oh? There’s so much to learn, it’s hard, Shaon.",
1608,no,Shaon,Shaon,,It’s fun to spread out the world. ,
1619,no,Rada,Rada,S038_B2_0041,I’ll definitely win next time! Then I’ll treat you to some.,
1627,yes,,,,"We went sightseeing around the capital, with the coliseum at the center.",
1635,yes,,,,-That night.,
1651,no,Ebita,Ebita,S004_B2_0064,"Yaaaah, that was amazing. And Radha was totally off the mark!",
1656,no,Foru,Foru,S035_B2_0042,Hehe. I’m glad we had a fun day. ,
1658,no,Shaon,Shaon,,"Thanks to you, Radha-san, for escorting me. ",
1663,no,Foru,Foru,S035_B2_0043,"Tomorrow, Shaon-kun and Urszula will come with me. We’ve arranged for you to be introduced to the Imperial Army.",
1667,no,Foru,Foru,S035_B2_0044,"...If the Damian Urszula mentioned really is General Damian, then it’s definitely better to use that connection, but ",
1676,no,Urszula,Urszula,S008_B2_0084,"She’s not here, so it can’t be helped. When that time comes, I’ll move while I can. I’ve seen someone so strong ",
1680,no,Urszula,Urszula,S008_B2_0085,Today. My body’s itching to do it! Training!!,
1686,no,Minjara,Minjara,S048_B2_0056,Don’t do push-ups here. Do it in your own room. ,
1699,no,Foru,Foru,S035_B2_0045,"Ahaha. The house suddenly became lively. Gulp, gulp, ",
1703,no,Minjara,Minjara,S048_B2_0057,Foru. You don’t drink wine all the time. I like it.,
1707,no,Foru,Foru,S035_B2_0046,"Once I’m done with work, I’ll drink and sleep! That’s all I’ve got. Come on, God, drink it. It’s called divine wine. ",
1712,no,Minjara,Minjara,S048_B2_0058,"Fine. ...Gulp, heh, this is a good grape. The sweetness is running wild in my mouth. ",
1715,no,Petter,Petter,S005_B2_0080,"This is Celal wine from Treley County. The head of the Commonwealth likes it too. I know he likes alcohol. ...Still, I can’t help but be jealous of his body.",
1719,no,Foru,Foru,S035_B2_0047,All right. Let’s have a drinking contest with the gods.,
